cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=16324
src                   dst                          bytes    idle_ms class
10.0.0.2:48322        10.0.0.3:5201              2001952       5415 CS1
10.0.0.2:48250        10.0.0.3:5201              1783838       7932 CS1
10.0.0.2:48156        10.0.0.3:5201              1561816      11780 CS1
10.0.0.2:45200        10.0.0.3:5201              1467937          0 CS1
10.0.0.2:45170        10.0.0.3:5201              1454304        283 CS1
10.0.0.2:48086        10.0.0.3:5201              1286080      15001 CS1
10.0.0.2:45186        10.0.0.3:5201              1084075          0 CS1
10.0.0.2:42730        10.0.0.3:5201              1076162      16239 CS1
10.0.0.2:45126        10.0.0.3:5201              1011732       2728 AF31
10.0.0.2:48116        10.0.0.3:5201               990470      12552 AF31
10.0.0.2:48306        10.0.0.3:5201               841542       6478 AF31
10.0.0.2:48144        10.0.0.3:5201               109140      11328 AF31
10.0.0.2:48106        10.0.0.3:5201                 9084      13757 EF
10.0.0.2:48228        10.0.0.3:5201                 6188       8880 EF
10.0.0.2:48124        10.0.0.3:5201                 6122      12550 EF
10.0.0.2:48262        10.0.0.3:5201                 2768       7640 EF
10.0.0.2:48104        10.0.0.3:5201                 1646      13767 EF
10.0.0.2:48310        10.0.0.3:5201                 1514       5025 EF
10.0.0.2:45102        10.0.0.3:5201                 1514       3873 EF
10.0.0.2:48084        10.0.0.3:5201                 1514      13856 EF
10.0.0.1:50112        10.0.0.3:9000                 1206       7503 EF
10.0.0.1:56336        10.0.0.3:9000                 1182       2788 EF
10.0.0.1:32462        10.0.0.3:9000                 1128       1344 EF
10.0.0.1:47994        10.0.0.3:9000                 1128       3303 EF
10.0.0.1:34432        10.0.0.3:9000                 1128       1239 EF
10.0.0.1:53662        10.0.0.3:9000                 1128       2954 EF
10.0.0.1:18490        10.0.0.3:9000                 1128       9323 EF
10.0.0.1:32986        10.0.0.3:9000                 1128       1320 EF
10.0.0.1:33980        10.0.0.3:9000                 1128       8459 EF
10.0.0.1:14664        10.0.0.3:9000                 1128       2327 EF
