cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=16331
src                   dst                          bytes    idle_ms class
10.0.0.2:58390        10.0.0.3:5201              3698865          0 CS1
10.0.0.2:58388        10.0.0.3:5201              3313689          0 CS1
10.0.0.1:47994        10.0.0.3:9000                 1284         74 EF
10.0.0.1:16080        10.0.0.3:9000                 1206       1647 EF
10.0.0.1:15290        10.0.0.3:9000                 1194       4227 EF
10.0.0.1:48410        10.0.0.3:9000                 1128         58 EF
10.0.0.1:22800        10.0.0.3:9000                 1128       6394 EF
10.0.0.1:55514        10.0.0.3:9000                 1128       7303 EF
10.0.0.1:26802        10.0.0.3:9000                 1128       1107 EF
10.0.0.1:54026        10.0.0.3:9000                 1128       7386 EF
10.0.0.1:14604        10.0.0.3:9000                 1128       4261 EF
10.0.0.1:22826        10.0.0.3:9000                 1128      10622 EF
10.0.0.1:47196        10.0.0.3:9000                 1128       2622 EF
10.0.0.1:45574        10.0.0.3:9000                 1128       2704 EF
10.0.0.1:47662        10.0.0.3:9000                 1128         89 EF
10.0.0.1:22818        10.0.0.3:9000                 1128       1306 EF
10.0.0.1:22462        10.0.0.3:9000                 1128       3876 EF
10.0.0.1:49090        10.0.0.3:9000                 1128       7644 EF
10.0.0.1:57434        10.0.0.3:9000                 1128       2100 EF
10.0.0.1:46372        10.0.0.3:9000                 1128       5220 EF
10.0.0.1:14942        10.0.0.3:9000                 1128      11004 EF
10.0.0.1:15318        10.0.0.3:9000                 1128       1684 EF
10.0.0.1:44802        10.0.0.3:9000                 1128       2745 EF
10.0.0.1:60158        10.0.0.3:9000                 1128       8745 EF
10.0.0.1:24974        10.0.0.3:9000                 1128       7967 EF
10.0.0.1:37918        10.0.0.3:9000                 1128        586 EF
10.0.0.1:10932        10.0.0.3:9000                 1128       4450 EF
10.0.0.1:51190        10.0.0.3:9000                 1128       2420 EF
10.0.0.1:13906        10.0.0.3:9000                 1128       1756 EF
10.0.0.1:41246        10.0.0.3:9000                 1128       5492 EF
