cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=16302
src                   dst                          bytes    idle_ms class
10.0.0.2:53972        10.0.0.3:5201              2199664        110 CS1
10.0.0.2:33872        10.0.0.3:5201              1393094       9530 CS1
10.0.0.2:53952        10.0.0.3:5201              1208594        897 CS1
10.0.0.2:53966        10.0.0.3:5201              1011020          0 AF31
10.0.0.2:53834        10.0.0.3:5201               915802       5820 AF31
10.0.0.2:53932        10.0.0.3:5201               454514       2154 AF31
10.0.0.2:33732        10.0.0.3:5201               354982      15649 AF31
10.0.0.2:53904        10.0.0.3:5201               222620       3353 AF31
10.0.0.2:33908        10.0.0.3:5201               203396       8282 AF31
10.0.0.2:33920        10.0.0.3:5201                 7702       7006 EF
10.0.0.2:33800        10.0.0.3:5201                 7702      13154 EF
10.0.0.2:33796        10.0.0.3:5201                 4608      13180 EF
10.0.0.2:53892        10.0.0.3:5201                 1646       3346 EF
10.0.0.2:33770        10.0.0.3:5201                 1646      14364 EF
10.0.0.2:33928        10.0.0.3:5201                 1580       6999 EF
10.0.0.2:33742        10.0.0.3:5201                 1514      15422 EF
10.0.0.1:27410        10.0.0.3:9000                 1128       5610 EF
10.0.0.1:51552        10.0.0.3:9000                 1128       4261 EF
10.0.0.1:42588        10.0.0.3:9000                 1128       8252 EF
10.0.0.1:23336        10.0.0.3:9000                 1128         64 EF
10.0.0.1:34842        10.0.0.3:9000                 1128       2273 EF
10.0.0.1:44776        10.0.0.3:9000                 1128       8134 EF
10.0.0.1:20392        10.0.0.3:9000                 1128       9508 EF
10.0.0.1:52218        10.0.0.3:9000                 1128       1327 EF
10.0.0.1:47438        10.0.0.3:9000                 1128       7987 EF
10.0.0.1:18268        10.0.0.3:9000                 1128        375 EF
10.0.0.1:47632        10.0.0.3:9000                 1128      16650 EF
10.0.0.1:29630        10.0.0.3:9000                 1128       9059 EF
10.0.0.1:25842        10.0.0.3:9000                 1128       5676 EF
10.0.0.1:31212        10.0.0.3:9000                 1128       5387 EF
