cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=16294
src                   dst                          bytes    idle_ms class
10.0.0.1:42476        10.0.0.3:9000                 1362       9040 EF
10.0.0.1:56614        10.0.0.3:9000                 1272       3615 EF
10.0.0.1:10090        10.0.0.3:9000                 1206       7948 EF
10.0.0.1:60790        10.0.0.3:9000                 1206       3391 EF
10.0.0.1:56000        10.0.0.3:9000                 1206       8286 EF
10.0.0.1:58378        10.0.0.3:9000                 1128       3539 EF
10.0.0.1:17730        10.0.0.3:9000                 1128       5962 EF
10.0.0.1:23082        10.0.0.3:9000                 1128       2673 EF
10.0.0.1:40370        10.0.0.3:9000                 1128       9150 EF
10.0.0.1:51604        10.0.0.3:9000                 1128        809 EF
10.0.0.1:24936        10.0.0.3:9000                 1128       5583 EF
10.0.0.1:43632        10.0.0.3:9000                 1128      11769 EF
10.0.0.1:24036        10.0.0.3:9000                 1128       5638 EF
10.0.0.1:29886        10.0.0.3:9000                 1128       6751 EF
10.0.0.1:16454        10.0.0.3:9000                 1128       3024 EF
10.0.0.1:34102        10.0.0.3:9000                 1128       1815 EF
10.0.0.1:58798        10.0.0.3:9000                 1128       3516 EF
10.0.0.1:12476        10.0.0.3:9000                 1116      10604 EF
10.0.0.1:56252        10.0.0.3:9000                 1092        568 EF
10.0.0.1:48058        10.0.0.3:9000                 1086      11487 EF
10.0.0.1:20364        10.0.0.3:9000                 1050       2821 EF
10.0.0.1:21858        10.0.0.3:9000                 1050      12994 EF
10.0.0.1:17280        10.0.0.3:9000                 1050       2978 EF
10.0.0.1:51890        10.0.0.3:9000                 1050       3836 EF
10.0.0.1:60784        10.0.0.3:9000                 1050       3393 EF
10.0.0.1:39810        10.0.0.3:9000                 1050       1441 EF
10.0.0.1:56082        10.0.0.3:9000                 1050       8281 EF
10.0.0.1:60730        10.0.0.3:9000                 1050        330 EF
10.0.0.1:33020        10.0.0.3:9000                 1044       4959 EF
10.0.0.1:33010        10.0.0.3:9000                 1044       4959 EF
