cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=16290
src                   dst                          bytes    idle_ms class
10.0.0.2:35428        10.0.0.3:5201              5391685        311 CS1
10.0.0.2:53858        10.0.0.3:5201              1588424      13304 CS1
10.0.0.2:35374        10.0.0.3:5201              1531442       3456 CS1
10.0.0.2:53982        10.0.0.3:5201              1332750       8364 CS1
10.0.0.2:58400        10.0.0.3:5201              1251496      16972 CS1
10.0.0.2:54008        10.0.0.3:5201              1113224       7148 CS1
10.0.0.2:53886        10.0.0.3:5201              1107198      12027 CS1
10.0.0.2:53936        10.0.0.3:5201              1005174       9632 AF31
10.0.0.2:58370        10.0.0.3:5201               709172      18204 AF31
10.0.0.2:53910        10.0.0.3:5201               610530      10814 AF31
10.0.0.2:58440        10.0.0.3:5201               545300      15742 AF31
10.0.0.2:58462        10.0.0.3:5201               387762      14503 AF31
10.0.0.2:35438        10.0.0.3:5201               174956          0 AF31
10.0.0.2:35410        10.0.0.3:5201                69248       2232 EF
10.0.0.2:54066        10.0.0.3:5201                17970       4672 EF
10.0.0.2:54030        10.0.0.3:5201                15206       5905 EF
10.0.0.2:54044        10.0.0.3:5201                 1646       5904 EF
10.0.0.2:54068        10.0.0.3:5201                 1514       4585 EF
10.0.0.1:23144        10.0.0.3:9000                 1206      12323 EF
10.0.0.1:59670        10.0.0.3:9000                 1128       7303 EF
10.0.0.1:32486        10.0.0.3:9000                 1128       5883 EF
10.0.0.1:23012        10.0.0.3:9000                 1128      12333 EF
10.0.0.1:21000        10.0.0.3:9000                 1128       6615 EF
10.0.0.1:34326        10.0.0.3:9000                 1128       2159 EF
10.0.0.1:40684        10.0.0.3:9000                 1128       8355 EF
10.0.0.1:50782        10.0.0.3:9000                 1128        934 EF
10.0.0.1:17010        10.0.0.3:9000                 1128       6845 EF
10.0.0.1:28646        10.0.0.3:9000                 1128       2479 EF
10.0.0.1:48552        10.0.0.3:9000                 1128       7960 EF
10.0.0.1:46634        10.0.0.3:9000                 1128       1160 EF
