cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=326
src                   dst                          bytes    idle_ms class
10.0.0.2:35976        10.0.0.3:5201               977147          0 AF31
10.0.0.2:35978        10.0.0.3:5201               928047          0 AF31
10.0.0.2:41670        10.0.0.3:5201                 1004      10072 EF
10.0.0.2:41136        10.0.0.3:5201                  940      40501 EF
10.0.0.2:35720        10.0.0.3:5201                  940      58661 EF
10.0.0.2:38416        10.0.0.3:5201                  940      24692 EF
10.0.0.2:60532        10.0.0.3:5201                  940     108550 EF
10.0.0.2:41724        10.0.0.3:5201                  940       7651 EF
10.0.0.2:42154        10.0.0.3:5201                  940      49023 EF
10.0.0.2:38006        10.0.0.3:5201                  940      92748 EF
10.0.0.2:38330        10.0.0.3:5201                  940      28342 EF
10.0.0.2:55744        10.0.0.3:5201                  940      96392 EF
10.0.0.2:38270        10.0.0.3:5201                  940      31995 EF
10.0.0.2:38092        10.0.0.3:5201                  940      87888 EF
10.0.0.2:41582        10.0.0.3:5201                  940      12522 EF
10.0.0.2:49786        10.0.0.3:5201                  940     121915 EF
10.0.0.2:55634        10.0.0.3:5201                  940     102470 EF
10.0.0.2:49908        10.0.0.3:5201                  940     115839 EF
10.0.0.2:38306        10.0.0.3:5201                  940      29559 EF
10.0.0.2:41554        10.0.0.3:5201                  940      13738 EF
10.0.0.2:35650        10.0.0.3:5201                  940      61093 EF
10.0.0.2:42166        10.0.0.3:5201                  939      47806 EF
10.0.0.2:42082        10.0.0.3:5201                  939      51370 EF
10.0.0.2:35750        10.0.0.3:5201                  939      57451 EF
10.0.0.2:42040        10.0.0.3:5201                  939      53800 EF
10.0.0.2:49764        10.0.0.3:5201                  939     123137 EF
10.0.0.2:47920        10.0.0.3:5201                  939      22263 EF
10.0.0.2:35684        10.0.0.3:5201                  939      59886 EF
10.0.0.2:39710        10.0.0.3:5201                  939      81809 EF
10.0.0.2:45126        10.0.0.3:5201                  939      69668 EF
