cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=164
src                   dst                          bytes    idle_ms class
10.0.0.2:46044        10.0.0.3:5201               559583          0 AF31
10.0.0.2:46040        10.0.0.3:5201               405303          0 AF31
10.0.0.2:50520        10.0.0.3:5201                  940      40413 EF
10.0.0.2:32794        10.0.0.3:5201                  940      28248 EF
10.0.0.2:35062        10.0.0.3:5201                  940      53789 EF
10.0.0.2:43046        10.0.0.3:5201                  940       6361 EF
10.0.0.2:43016        10.0.0.3:5201                  940       7580 EF
10.0.0.2:59604        10.0.0.3:5201                  940      14873 EF
10.0.0.2:50584        10.0.0.3:5201                  940      37982 EF
10.0.0.2:51006        10.0.0.3:5201                  940      50146 EF
10.0.0.2:43110        10.0.0.3:5201                  939       3931 EF
10.0.0.2:50608        10.0.0.3:5201                  939      36765 EF
10.0.0.2:60946        10.0.0.3:5201                  939      31899 EF
10.0.0.2:50674        10.0.0.3:5201                  939      34331 EF
10.0.0.2:59490        10.0.0.3:5201                  939      19738 EF
10.0.0.2:59640        10.0.0.3:5201                  939      13662 EF
10.0.0.2:34932        10.0.0.3:5201                  939      58667 EF
10.0.0.2:51150        10.0.0.3:5201                  938      42848 EF
10.0.0.2:60966        10.0.0.3:5201                  938      30683 EF
10.0.0.2:59654        10.0.0.3:5201                  938      12445 EF
10.0.0.2:42984        10.0.0.3:5201                  938       8795 EF
10.0.0.2:50988        10.0.0.3:5201                  938      51360 EF
10.0.0.2:43144        10.0.0.3:5201                  938       2714 EF
10.0.0.2:50498        10.0.0.3:5201                  938      41628 EF
10.0.0.2:59548        10.0.0.3:5201                  938      17303 EF
10.0.0.2:51092        10.0.0.3:5201                  938      46496 EF
10.0.0.2:43080        10.0.0.3:5201                  938       5145 EF
10.0.0.2:51132        10.0.0.3:5201                  938      44064 EF
10.0.0.2:34872        10.0.0.3:5201                  938      61102 EF
10.0.0.2:50718        10.0.0.3:5201                  937      33112 EF
