cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=328
src                   dst                          bytes    idle_ms class
10.0.0.2:53026        10.0.0.3:5201               251547          0 AF31
10.0.0.2:53014        10.0.0.3:5201               221927          0 AF31
10.0.0.2:34668        10.0.0.3:5201                  940       9989 EF
10.0.0.2:50520        10.0.0.3:5201                  940     104865 EF
10.0.0.2:32794        10.0.0.3:5201                  940      92699 EF
10.0.0.2:34640        10.0.0.3:5201                  940      11205 EF
10.0.0.2:46054        10.0.0.3:5201                  940      61080 EF
10.0.0.2:35062        10.0.0.3:5201                  940     118241 EF
10.0.0.2:56458        10.0.0.3:5201                  940      30673 EF
10.0.0.2:52970        10.0.0.3:5201                  940        257 EF
10.0.0.2:43046        10.0.0.3:5201                  940      70813 EF
10.0.0.2:34548        10.0.0.3:5201                  940      14853 EF
10.0.0.2:48142        10.0.0.3:5201                  940      44051 EF
10.0.0.2:43016        10.0.0.3:5201                  940      72031 EF
10.0.0.2:56484        10.0.0.3:5201                  940      29459 EF
10.0.0.2:52910        10.0.0.3:5201                  940       2689 EF
10.0.0.2:59604        10.0.0.3:5201                  940      79325 EF
10.0.0.2:34518        10.0.0.3:5201                  940      16069 EF
10.0.0.2:50584        10.0.0.3:5201                  940     102434 EF
10.0.0.2:46080        10.0.0.3:5201                  940      59865 EF
10.0.0.2:60098        10.0.0.3:5201                  940      47698 EF
10.0.0.2:51006        10.0.0.3:5201                  940     114598 EF
10.0.0.2:43110        10.0.0.3:5201                  939      68382 EF
10.0.0.2:60074        10.0.0.3:5201                  939      48913 EF
10.0.0.2:50608        10.0.0.3:5201                  939     101217 EF
10.0.0.2:56436        10.0.0.3:5201                  939      31890 EF
10.0.0.2:60946        10.0.0.3:5201                  939      96351 EF
10.0.0.2:50674        10.0.0.3:5201                  939      98783 EF
10.0.0.2:56346        10.0.0.3:5201                  939      35540 EF
10.0.0.2:48258        10.0.0.3:5201                  939      37968 EF
