cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=16313
src                   dst                          bytes    idle_ms class
10.0.0.2:48044        10.0.0.3:5201              1919390        665 CS1
10.0.0.2:48074        10.0.0.3:5201              1816744          0 CS1
10.0.0.2:48078        10.0.0.3:5201              1371478         25 CS1
10.0.0.2:47992        10.0.0.3:5201               803874       3056 AF31
10.0.0.2:47976        10.0.0.3:5201               667402       3056 AF31
10.0.0.2:33124        10.0.0.3:5201               562528      11653 AF31
10.0.0.2:33026        10.0.0.3:5201               548436      15337 AF31
10.0.0.2:32974        10.0.0.3:5201               528432      17781 AF31
10.0.0.2:48024        10.0.0.3:5201               456598       1819 AF31
10.0.0.2:33150        10.0.0.3:5201               246976      10432 AF31
10.0.0.2:47922        10.0.0.3:5201                32714       5512 EF
10.0.0.2:47886        10.0.0.3:5201                10598       6742 EF
10.0.0.2:33074        10.0.0.3:5201                 9216      12879 EF
10.0.0.2:32994        10.0.0.3:5201                 1646      16556 EF
10.0.0.2:33088        10.0.0.3:5201                 1646      12879 EF
10.0.0.2:47910        10.0.0.3:5201                 1646       5483 EF
10.0.0.2:33008        10.0.0.3:5201                 1646      16556 EF
10.0.0.2:33028        10.0.0.3:5201                 1514      15152 EF
10.0.0.1:21636        10.0.0.3:9000                 1128       5454 EF
10.0.0.1:54652        10.0.0.3:9000                 1128       6545 EF
10.0.0.1:59464        10.0.0.3:9000                 1128       3239 EF
10.0.0.1:34418        10.0.0.3:9000                 1128       4714 EF
10.0.0.1:14536        10.0.0.3:9000                 1128       8878 EF
10.0.0.1:24528        10.0.0.3:9000                 1128       2230 EF
10.0.0.1:15248        10.0.0.3:9000                 1128       8842 EF
10.0.0.1:13104        10.0.0.3:9000                 1128       2965 EF
10.0.0.1:25838        10.0.0.3:9000                 1128      10187 EF
10.0.0.1:40176        10.0.0.3:9000                 1128       7356 EF
10.0.0.1:36276        10.0.0.3:9000                 1128       1561 EF
10.0.0.1:40424        10.0.0.3:9000                 1128       4312 EF
