cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=16363
src                   dst                          bytes    idle_ms class
10.0.0.2:41630        10.0.0.3:5201              3919893          0 CS1
10.0.0.2:41620        10.0.0.3:5201              3849531          0 CS1
10.0.0.1:44688        10.0.0.3:9000                 1194       1850 EF
10.0.0.1:22830        10.0.0.3:9000                 1128       2929 EF
10.0.0.1:49910        10.0.0.3:9000                 1128       1594 EF
10.0.0.1:49628        10.0.0.3:9000                 1128       6741 EF
10.0.0.1:60944        10.0.0.3:9000                 1128       6094 EF
10.0.0.1:56806        10.0.0.3:9000                 1128       1472 EF
10.0.0.1:23996        10.0.0.3:9000                 1128       8036 EF
10.0.0.1:53094        10.0.0.3:9000                 1128       6554 EF
10.0.0.1:56244        10.0.0.3:9000                 1128       3794 EF
10.0.0.1:52864        10.0.0.3:9000                 1128       6569 EF
10.0.0.1:38282        10.0.0.3:9000                 1128       4654 EF
10.0.0.1:43754        10.0.0.3:9000                 1128       1899 EF
10.0.0.1:44604        10.0.0.3:9000                 1128       1854 EF
10.0.0.1:32430        10.0.0.3:9000                 1128        148 EF
10.0.0.1:48646        10.0.0.3:9000                 1116       1656 EF
10.0.0.1:45880        10.0.0.3:9000                 1116       1792 EF
10.0.0.1:12828        10.0.0.3:9000                 1116       1100 EF
10.0.0.1:22530        10.0.0.3:9000                 1104       5473 EF
10.0.0.1:56164        10.0.0.3:9000                 1104       3796 EF
10.0.0.1:46310        10.0.0.3:9000                 1086       4285 EF
10.0.0.1:29612        10.0.0.3:9000                 1086       2597 EF
10.0.0.1:57052        10.0.0.3:9000                 1086       1461 EF
10.0.0.1:31194        10.0.0.3:9000                 1080        211 EF
10.0.0.1:17998        10.0.0.3:9000                 1050       8313 EF
10.0.0.1:23894        10.0.0.3:9000                 1050       5403 EF
10.0.0.1:44792        10.0.0.3:9000                 1050       1847 EF
10.0.0.1:19272        10.0.0.3:9000                 1050       5644 EF
10.0.0.1:57042        10.0.0.3:9000                 1050      11414 EF
