cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=16267
src                   dst                          bytes    idle_ms class
10.0.0.2:45894        10.0.0.3:5201              3603165          0 CS1
10.0.0.2:45896        10.0.0.3:5201              3358977          0 CS1
10.0.0.1:31642        10.0.0.3:9000                 1206       7740 EF
10.0.0.1:57634        10.0.0.3:9000                 1128       9073 EF
10.0.0.1:27154        10.0.0.3:9000                 1128        148 EF
10.0.0.1:20508        10.0.0.3:9000                 1128        479 EF
10.0.0.1:38606        10.0.0.3:9000                 1128       4812 EF
10.0.0.1:23288        10.0.0.3:9000                 1128       5594 EF
10.0.0.1:56198        10.0.0.3:9000                 1128       3910 EF
10.0.0.1:12426        10.0.0.3:9000                 1128       6087 EF
10.0.0.1:57004        10.0.0.3:9000                 1128       1220 EF
10.0.0.1:53752        10.0.0.3:9000                 1128       6585 EF
10.0.0.1:24022        10.0.0.3:9000                 1128        302 EF
10.0.0.1:24984        10.0.0.3:9000                 1128       8088 EF
10.0.0.1:11738        10.0.0.3:9000                 1128       6119 EF
10.0.0.1:19572        10.0.0.3:9000                 1128       5742 EF
10.0.0.1:34096        10.0.0.3:9000                 1128       5042 EF
10.0.0.1:17554        10.0.0.3:9000                 1128       3296 EF
10.0.0.1:26044        10.0.0.3:9000                 1116        202 EF
10.0.0.1:29090        10.0.0.3:9000                 1116      12663 EF
10.0.0.1:24504        10.0.0.3:9000                 1116        279 EF
10.0.0.1:25078        10.0.0.3:9000                 1110      12879 EF
10.0.0.1:25780        10.0.0.3:9000                 1092       2898 EF
10.0.0.1:17282        10.0.0.3:9000                 1092       8470 EF
10.0.0.1:32336        10.0.0.3:9000                 1086       2552 EF
10.0.0.1:15144        10.0.0.3:9000                 1050       8578 EF
10.0.0.1:42474        10.0.0.3:9000                 1050       7151 EF
10.0.0.1:43248        10.0.0.3:9000                 1050       1944 EF
10.0.0.1:35808        10.0.0.3:9000                 1050       2385 EF
10.0.0.1:60334        10.0.0.3:9000                 1050       1027 EF
