cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=16319
src                   dst                          bytes    idle_ms class
10.0.0.2:58146        10.0.0.3:5201              1920413          0 CS1
10.0.0.2:58136        10.0.0.3:5201              1682281          0 CS1
10.0.0.1:39372        10.0.0.3:9000                 1362      11320 EF
10.0.0.1:16844        10.0.0.3:9000                 1284       9508 EF
10.0.0.1:53948        10.0.0.3:9000                 1284       2852 EF
10.0.0.1:44984        10.0.0.3:9000                 1206        299 EF
10.0.0.1:10672        10.0.0.3:9000                 1128       5387 EF
10.0.0.1:13262        10.0.0.3:9000                 1128       5275 EF
10.0.0.1:23364        10.0.0.3:9000                 1128       4526 EF
10.0.0.1:41762        10.0.0.3:9000                 1128       3452 EF
10.0.0.1:29182        10.0.0.3:9000                 1128       8884 EF
10.0.0.1:45516        10.0.0.3:9000                 1128       3268 EF
10.0.0.1:17878        10.0.0.3:9000                 1128       6561 EF
10.0.0.1:14986        10.0.0.3:9000                 1128       5179 EF
10.0.0.1:25854        10.0.0.3:9000                 1128       9049 EF
10.0.0.1:31050        10.0.0.3:9000                 1128      18119 EF
10.0.0.1:14512        10.0.0.3:9000                 1128       5205 EF
10.0.0.1:14350        10.0.0.3:9000                 1128       2076 EF
10.0.0.1:19174        10.0.0.3:9000                 1128      12370 EF
10.0.0.1:14996        10.0.0.3:9000                 1128       5177 EF
10.0.0.1:38072        10.0.0.3:9000                 1128        648 EF
10.0.0.1:54416        10.0.0.3:9000                 1128       2833 EF
10.0.0.1:53936        10.0.0.3:9000                 1116       2852 EF
10.0.0.1:33630        10.0.0.3:9000                 1104       8644 EF
10.0.0.1:17784        10.0.0.3:9000                 1080       6565 EF
10.0.0.1:18788        10.0.0.3:9000                 1068       4865 EF
10.0.0.1:27332        10.0.0.3:9000                 1050      11926 EF
10.0.0.1:34734        10.0.0.3:9000                 1050       8582 EF
10.0.0.1:51416        10.0.0.3:9000                 1050       2956 EF
10.0.0.1:43682        10.0.0.3:9000                 1050       3354 EF
