cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=16324
src                   dst                          bytes    idle_ms class
10.0.0.2:53620        10.0.0.3:5201              1891123          0 CS1
10.0.0.2:53614        10.0.0.3:5201              1823591          0 CS1
10.0.0.1:57078        10.0.0.3:9000                 1284       8865 EF
10.0.0.1:55766        10.0.0.3:9000                 1206        757 EF
10.0.0.1:44462        10.0.0.3:9000                 1128       3906 EF
10.0.0.1:49440        10.0.0.3:9000                 1128       6496 EF
10.0.0.1:56324        10.0.0.3:9000                 1128       3100 EF
10.0.0.1:25998        10.0.0.3:9000                 1128      10773 EF
10.0.0.1:28646        10.0.0.3:9000                 1128       2222 EF
10.0.0.1:39154        10.0.0.3:9000                 1128       7075 EF
10.0.0.1:34426        10.0.0.3:9000                 1128       7327 EF
10.0.0.1:44476        10.0.0.3:9000                 1128       3906 EF
10.0.0.1:57582        10.0.0.3:9000                 1128       3027 EF
10.0.0.1:26324        10.0.0.3:9000                 1128      10756 EF
10.0.0.1:41396        10.0.0.3:9000                 1128       1536 EF
10.0.0.1:37226        10.0.0.3:9000                 1128      10200 EF
10.0.0.1:10960        10.0.0.3:9000                 1128      17209 EF
10.0.0.1:17838        10.0.0.3:9000                 1128       2364 EF
10.0.0.1:50354        10.0.0.3:9000                 1128       1052 EF
10.0.0.1:27898        10.0.0.3:9000                 1128       4765 EF
10.0.0.1:15460        10.0.0.3:9000                 1128      13916 EF
10.0.0.1:56748        10.0.0.3:9000                 1128       6104 EF
10.0.0.1:54024        10.0.0.3:9000                 1128       3314 EF
10.0.0.1:52794        10.0.0.3:9000                 1128        924 EF
10.0.0.1:14106        10.0.0.3:9000                 1116       5492 EF
10.0.0.1:34278        10.0.0.3:9000                 1116       4423 EF
10.0.0.1:30974        10.0.0.3:9000                 1104       4603 EF
10.0.0.1:29504        10.0.0.3:9000                 1104       2169 EF
10.0.0.1:51588        10.0.0.3:9000                 1086       3486 EF
10.0.0.1:27400        10.0.0.3:9000                 1080       2292 EF
