cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=328
src                   dst                          bytes    idle_ms class
10.0.0.2:57192        10.0.0.3:5201               293473          0 AF31
10.0.0.2:57180        10.0.0.3:5201               220479          0 AF31
10.0.0.2:53938        10.0.0.3:5201                 1470      79299 EF
10.0.0.2:49306        10.0.0.3:5201                  940      42839 EF
10.0.0.2:45014        10.0.0.3:5201                  940      23375 EF
10.0.0.2:38994        10.0.0.3:5201                  940     102427 EF
10.0.0.2:45084        10.0.0.3:5201                  940      20943 EF
10.0.0.2:39070        10.0.0.3:5201                  940      99987 EF
10.0.0.2:56466        10.0.0.3:5201                  940     115811 EF
10.0.0.2:37466        10.0.0.3:5201                  940      51370 EF
10.0.0.2:44976        10.0.0.3:5201                  940      25803 EF
10.0.0.2:37378        10.0.0.3:5201                  940      55017 EF
10.0.0.2:45456        10.0.0.3:5201                  940       1475 EF
10.0.0.2:38958        10.0.0.3:5201                  940      64710 EF
10.0.0.2:33506        10.0.0.3:5201                  940      81747 EF
10.0.0.2:56408        10.0.0.3:5201                  940     118240 EF
10.0.0.2:51766        10.0.0.3:5201                  940      92698 EF
10.0.0.2:49218        10.0.0.3:5201                  940      12433 EF
10.0.0.2:49084        10.0.0.3:5201                  940      17292 EF
10.0.0.2:53970        10.0.0.3:5201                  940      78097 EF
10.0.0.2:36318        10.0.0.3:5201                  940     123116 EF
10.0.0.2:51750        10.0.0.3:5201                  940      93915 EF
10.0.0.2:49180        10.0.0.3:5201                  940      48928 EF
10.0.0.2:56552        10.0.0.3:5201                  940     112157 EF
10.0.0.2:38876        10.0.0.3:5201                  939     107292 EF
10.0.0.2:45116        10.0.0.3:5201                  939      19727 EF
10.0.0.2:33448        10.0.0.3:5201                  939      84182 EF
10.0.0.2:35300        10.0.0.3:5201                  939      34321 EF
10.0.0.2:54186        10.0.0.3:5201                  939      69581 EF
10.0.0.2:39014        10.0.0.3:5201                  939      59889 EF
