cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=16348
src                   dst                          bytes    idle_ms class
10.0.0.2:43648        10.0.0.3:5201              2220424      13736 CS1
10.0.0.2:42518        10.0.0.3:5201              1943448       5152 CS1
10.0.0.2:42590        10.0.0.3:5201              1910004       3085 CS1
10.0.0.2:57674        10.0.0.3:5201              1012000        206 AF31
10.0.0.2:42496        10.0.0.3:5201               729922       6372 AF31
10.0.0.2:42468        10.0.0.3:5201               391592       7605 AF31
10.0.0.2:43708        10.0.0.3:5201               289796      11269 AF31
10.0.0.2:57710        10.0.0.3:5201               102263          0 EF
10.0.0.2:57698        10.0.0.3:5201                78963          0 EF
10.0.0.2:42458        10.0.0.3:5201                22380       8824 EF
10.0.0.2:42530        10.0.0.3:5201                15140       5143 EF
10.0.0.2:43590        10.0.0.3:5201                 4608      17615 EF
10.0.0.2:43710        10.0.0.3:5201                 1514      10640 EF
10.0.0.2:43638        10.0.0.3:5201                 1514      14032 EF
10.0.0.2:57686        10.0.0.3:5201                 1514        107 EF
10.0.0.1:33780        10.0.0.3:9000                 1362       1894 EF
10.0.0.1:13082        10.0.0.3:9000                 1206       9126 EF
10.0.0.1:45632        10.0.0.3:9000                 1206       4288 EF
10.0.0.1:19342        10.0.0.3:9000                 1128       5805 EF
10.0.0.1:38172        10.0.0.3:9000                 1128       4733 EF
10.0.0.1:14802        10.0.0.3:9000                 1128       1016 EF
10.0.0.1:29680        10.0.0.3:9000                 1128         20 EF
10.0.0.1:41456        10.0.0.3:9000                 1128       4523 EF
10.0.0.1:14352        10.0.0.3:9000                 1128       1047 EF
10.0.0.1:45586        10.0.0.3:9000                 1128       1254 EF
10.0.0.1:58366        10.0.0.3:9000                 1128       6479 EF
10.0.0.1:19124        10.0.0.3:9000                 1128        729 EF
10.0.0.1:11114        10.0.0.3:9000                 1128       3361 EF
10.0.0.1:24858        10.0.0.3:9000                 1128       8482 EF
10.0.0.1:19724        10.0.0.3:9000                 1128      11331 EF
