cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=490
src                   dst                          bytes    idle_ms class
10.0.0.2:47822        10.0.0.3:5201               825759          0 AF31
10.0.0.2:47810        10.0.0.3:5201               527929          0 AF31
10.0.0.2:59632        10.0.0.3:5201                 1015      17317 EF
10.0.0.2:41670        10.0.0.3:5201                 1004      74327 EF
10.0.0.2:41136        10.0.0.3:5201                  940     104755 EF
10.0.0.2:60818        10.0.0.3:5201                  940      56218 EF
10.0.0.2:47734        10.0.0.3:5201                  940       1536 EF
10.0.0.2:35720        10.0.0.3:5201                  940     122915 EF
10.0.0.2:57092        10.0.0.3:5201                  940      22189 EF
10.0.0.2:60804        10.0.0.3:5201                  940      57433 EF
10.0.0.2:38416        10.0.0.3:5201                  940      88946 EF
10.0.0.2:60532        10.0.0.3:5201                  940     172805 EF
10.0.0.2:57058        10.0.0.3:5201                  940      23401 EF
10.0.0.2:41724        10.0.0.3:5201                  940      71906 EF
10.0.0.2:47688        10.0.0.3:5201                  940       3963 EF
10.0.0.2:59690        10.0.0.3:5201                  940      14894 EF
10.0.0.2:42154        10.0.0.3:5201                  940     113277 EF
10.0.0.2:38006        10.0.0.3:5201                  940     157002 EF
10.0.0.2:38330        10.0.0.3:5201                  940      92596 EF
10.0.0.2:55744        10.0.0.3:5201                  940     160646 EF
10.0.0.2:59190        10.0.0.3:5201                  940      39206 EF
10.0.0.2:38270        10.0.0.3:5201                  940      96249 EF
10.0.0.2:38092        10.0.0.3:5201                  940     152143 EF
10.0.0.2:41582        10.0.0.3:5201                  940      76777 EF
10.0.0.2:49786        10.0.0.3:5201                  940     186170 EF
10.0.0.2:55634        10.0.0.3:5201                  940     166724 EF
10.0.0.2:47676        10.0.0.3:5201                  940       5176 EF
10.0.0.2:38670        10.0.0.3:5201                  940      33126 EF
10.0.0.2:49908        10.0.0.3:5201                  940     180094 EF
10.0.0.2:38306        10.0.0.3:5201                  940      93813 EF
