cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=164
src                   dst                          bytes    idle_ms class
10.0.0.2:39000        10.0.0.3:5201               267211          0 AF31
10.0.0.2:38996        10.0.0.3:5201               226271          0 AF31
10.0.0.2:53938        10.0.0.3:5201                 1470      14833 EF
10.0.0.2:38994        10.0.0.3:5201                  940      37960 EF
10.0.0.2:39070        10.0.0.3:5201                  940      35521 EF
10.0.0.2:56466        10.0.0.3:5201                  940      51344 EF
10.0.0.2:38958        10.0.0.3:5201                  940        244 EF
10.0.0.2:33506        10.0.0.3:5201                  940      17280 EF
10.0.0.2:56408        10.0.0.3:5201                  940      53773 EF
10.0.0.2:51766        10.0.0.3:5201                  940      28231 EF
10.0.0.2:53970        10.0.0.3:5201                  940      13630 EF
10.0.0.2:36318        10.0.0.3:5201                  940      58650 EF
10.0.0.2:51750        10.0.0.3:5201                  940      29448 EF
10.0.0.2:56552        10.0.0.3:5201                  940      47691 EF
10.0.0.2:38876        10.0.0.3:5201                  939      42826 EF
10.0.0.2:33448        10.0.0.3:5201                  939      19715 EF
10.0.0.2:54186        10.0.0.3:5201                  939       5114 EF
10.0.0.2:36304        10.0.0.3:5201                  939      59864 EF
10.0.0.2:36278        10.0.0.3:5201                  939      61081 EF
10.0.0.2:36378        10.0.0.3:5201                  939      56221 EF
10.0.0.2:53994        10.0.0.3:5201                  938      12411 EF
10.0.0.2:33532        10.0.0.3:5201                  938      16062 EF
10.0.0.2:56442        10.0.0.3:5201                  938      52560 EF
10.0.0.2:39038        10.0.0.3:5201                  938      36740 EF
10.0.0.2:51706        10.0.0.3:5201                  938      31877 EF
10.0.0.2:33392        10.0.0.3:5201                  938      22149 EF
10.0.0.2:54156        10.0.0.3:5201                  938       6330 EF
10.0.0.2:54024        10.0.0.3:5201                  938      11195 EF
10.0.0.2:36400        10.0.0.3:5201                  938      54993 EF
10.0.0.2:56520        10.0.0.3:5201                  938      48910 EF
