cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=16350
src                   dst                          bytes    idle_ms class
10.0.0.2:39546        10.0.0.3:5201              3994599          0 CS1
10.0.0.2:39562        10.0.0.3:5201              3853949          0 CS1
10.0.0.1:54488        10.0.0.3:9000                 1362       6820 EF
10.0.0.1:34046        10.0.0.3:9000                 1362       7811 EF
10.0.0.1:48144        10.0.0.3:9000                 1284       4506 EF
10.0.0.1:15776        10.0.0.3:9000                 1194       2241 EF
10.0.0.1:59366        10.0.0.3:9000                 1146       6571 EF
10.0.0.1:43312        10.0.0.3:9000                 1128       7357 EF
10.0.0.1:15680        10.0.0.3:9000                 1128       6216 EF
10.0.0.1:52570        10.0.0.3:9000                 1128        396 EF
10.0.0.1:18278        10.0.0.3:9000                 1128      13680 EF
10.0.0.1:16540        10.0.0.3:9000                 1128       8671 EF
10.0.0.1:58616        10.0.0.3:9000                 1128       6609 EF
10.0.0.1:10056        10.0.0.3:9000                 1128       2539 EF
10.0.0.1:46432        10.0.0.3:9000                 1128        714 EF
10.0.0.1:47172        10.0.0.3:9000                 1128        670 EF
10.0.0.1:17186        10.0.0.3:9000                 1128       2166 EF
10.0.0.1:48334        10.0.0.3:9000                 1128       7104 EF
10.0.0.1:32242        10.0.0.3:9000                 1128      10480 EF
10.0.0.1:12312        10.0.0.3:9000                 1128       8907 EF
10.0.0.1:30014        10.0.0.3:9000                 1128       1523 EF
10.0.0.1:23942        10.0.0.3:9000                 1128       1831 EF
10.0.0.1:31752        10.0.0.3:9000                 1128       5336 EF
10.0.0.1:60928        10.0.0.3:9000                 1116       6496 EF
10.0.0.1:36098        10.0.0.3:9000                 1104       3808 EF
10.0.0.1:31840        10.0.0.3:9000                 1092       1427 EF
10.0.0.1:50186        10.0.0.3:9000                 1080        517 EF
10.0.0.1:20232        10.0.0.3:9000                 1080       2024 EF
10.0.0.1:37258        10.0.0.3:9000                 1068       1148 EF
10.0.0.1:55818        10.0.0.3:9000                 1050        229 EF
