cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=485
src                   dst                          bytes    idle_ms class
10.0.0.2:52520        10.0.0.3:5201               442423          0 AF31
10.0.0.2:52528        10.0.0.3:5201               291171          0 AF31
10.0.0.2:53938        10.0.0.3:5201                 1470     143775 EF
10.0.0.2:49306        10.0.0.3:5201                  940     107315 EF
10.0.0.2:45014        10.0.0.3:5201                  940      87851 EF
10.0.0.2:55624        10.0.0.3:5201                  940      20947 EF
10.0.0.2:38994        10.0.0.3:5201                  940     166902 EF
10.0.0.2:45018        10.0.0.3:5201                  940      45273 EF
10.0.0.2:55726        10.0.0.3:5201                  940      17298 EF
10.0.0.2:52482        10.0.0.3:5201                  940        266 EF
10.0.0.2:55694        10.0.0.3:5201                  940      18513 EF
10.0.0.2:45084        10.0.0.3:5201                  940      85419 EF
10.0.0.2:39070        10.0.0.3:5201                  940     164463 EF
10.0.0.2:45000        10.0.0.3:5201                  940      46490 EF
10.0.0.2:55608        10.0.0.3:5201                  940      22166 EF
10.0.0.2:56466        10.0.0.3:5201                  940     180287 EF
10.0.0.2:37466        10.0.0.3:5201                  940     115845 EF
10.0.0.2:44976        10.0.0.3:5201                  940      90279 EF
10.0.0.2:37378        10.0.0.3:5201                  940     119493 EF
10.0.0.2:45456        10.0.0.3:5201                  940      65951 EF
10.0.0.2:38958        10.0.0.3:5201                  940     129186 EF
10.0.0.2:33506        10.0.0.3:5201                  940     146223 EF
10.0.0.2:57324        10.0.0.3:5201                  940      56225 EF
10.0.0.2:56408        10.0.0.3:5201                  940     182716 EF
10.0.0.2:51766        10.0.0.3:5201                  940     157174 EF
10.0.0.2:40430        10.0.0.3:5201                  940       8789 EF
10.0.0.2:49218        10.0.0.3:5201                  940      76909 EF
10.0.0.2:49084        10.0.0.3:5201                  940      81768 EF
10.0.0.2:36318        10.0.0.3:5201                  940     187592 EF
10.0.0.2:51750        10.0.0.3:5201                  940     158391 EF
