cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=16285
src                   dst                          bytes    idle_ms class
10.0.0.2:47928        10.0.0.3:5201              2269060        163 CS1
10.0.0.2:52322        10.0.0.3:5201              1871014      10900 CS1
10.0.0.2:52232        10.0.0.3:5201              1348476      14456 CS1
10.0.0.2:47924        10.0.0.3:5201              1121466          0 CS1
10.0.0.2:60908        10.0.0.3:5201              1044484       9580 AF31
10.0.0.2:52270        10.0.0.3:5201              1004070      13214 AF31
10.0.0.2:52224        10.0.0.3:5201               966478      15665 AF31
10.0.0.2:52304        10.0.0.3:5201               964332      11996 AF31
10.0.0.2:60990        10.0.0.3:5201               312404       5867 AF31
10.0.0.2:52236        10.0.0.3:5201                26856      14432 EF
10.0.0.2:32824        10.0.0.3:5201                20866       3404 EF
10.0.0.2:32858        10.0.0.3:5201                10532       2127 EF
10.0.0.2:52226        10.0.0.3:5201                 4608      15675 EF
10.0.0.2:52196        10.0.0.3:5201                 1646      16861 EF
10.0.0.2:32848        10.0.0.3:5201                 1646       2177 EF
10.0.0.2:32826        10.0.0.3:5201                 1646       3404 EF
10.0.0.2:32876        10.0.0.3:5201                 1514        841 EF
10.0.0.1:50968        10.0.0.3:9000                 1362       5872 EF
10.0.0.1:19670        10.0.0.3:9000                 1362       1882 EF
10.0.0.1:59228        10.0.0.3:9000                 1128       2512 EF
10.0.0.1:27426        10.0.0.3:9000                 1128       1428 EF
10.0.0.1:17414        10.0.0.3:9000                 1128       2007 EF
10.0.0.1:50384        10.0.0.3:9000                 1128       3075 EF
10.0.0.1:24238        10.0.0.3:9000                 1128       1611 EF
10.0.0.1:27144        10.0.0.3:9000                 1128      13504 EF
10.0.0.1:36696        10.0.0.3:9000                 1128        692 EF
10.0.0.1:41586        10.0.0.3:9000                 1128        422 EF
10.0.0.1:56600        10.0.0.3:9000                 1128       2674 EF
10.0.0.1:41732        10.0.0.3:9000                 1128      15636 EF
10.0.0.1:46876        10.0.0.3:9000                 1128       3256 EF
