cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=489
src                   dst                          bytes    idle_ms class
10.0.0.2:54664        10.0.0.3:5201               174997          0 AF31
10.0.0.2:54660        10.0.0.3:5201               148273          0 AF31
10.0.0.2:54638        10.0.0.3:5201                  940      57435 EF
10.0.0.2:34668        10.0.0.3:5201                  940      74455 EF
10.0.0.2:50520        10.0.0.3:5201                  940     169331 EF
10.0.0.2:32794        10.0.0.3:5201                  940     157166 EF
10.0.0.2:34640        10.0.0.3:5201                  940      75671 EF
10.0.0.2:43178        10.0.0.3:5201                  940      20919 EF
10.0.0.2:34526        10.0.0.3:5201                  940       6326 EF
10.0.0.2:46054        10.0.0.3:5201                  940     125546 EF
10.0.0.2:54774        10.0.0.3:5201                  940      51343 EF
10.0.0.2:35062        10.0.0.3:5201                  940     182707 EF
10.0.0.2:56458        10.0.0.3:5201                  940      95140 EF
10.0.0.2:52970        10.0.0.3:5201                  940      64723 EF
10.0.0.2:43046        10.0.0.3:5201                  940     135279 EF
10.0.0.2:52622        10.0.0.3:5201                  940      28218 EF
10.0.0.2:48142        10.0.0.3:5201                  940     108517 EF
10.0.0.2:43016        10.0.0.3:5201                  940     136498 EF
10.0.0.2:56484        10.0.0.3:5201                  940      93925 EF
10.0.0.2:52910        10.0.0.3:5201                  940      67155 EF
10.0.0.2:59604        10.0.0.3:5201                  940     143791 EF
10.0.0.2:43312        10.0.0.3:5201                  940      16060 EF
10.0.0.2:43350        10.0.0.3:5201                  940      13625 EF
10.0.0.2:34518        10.0.0.3:5201                  940      80535 EF
10.0.0.2:50584        10.0.0.3:5201                  940     166900 EF
10.0.0.2:46080        10.0.0.3:5201                  940     124331 EF
10.0.0.2:60098        10.0.0.3:5201                  940     112164 EF
10.0.0.2:51006        10.0.0.3:5201                  940     179064 EF
10.0.0.2:53036        10.0.0.3:5201                  940      61085 EF
10.0.0.2:43110        10.0.0.3:5201                  939     132848 EF
