cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=16331
src                   dst                          bytes    idle_ms class
10.0.0.2:36892        10.0.0.3:5201              2160268        128 CS1
10.0.0.2:36634        10.0.0.3:5201              1754164       9612 CS1
10.0.0.2:46484        10.0.0.3:5201              1423542      15501 CS1
10.0.0.2:36706        10.0.0.3:5201              1081828       6926 CS1
10.0.0.2:46544        10.0.0.3:5201               755532      13061 AF31
10.0.0.2:36744        10.0.0.3:5201               728012       5706 AF31
10.0.0.2:36790        10.0.0.3:5201               703842       4486 AF31
10.0.0.2:36876        10.0.0.3:5201               679194         43 AF31
10.0.0.2:46568        10.0.0.3:5201               424296      11831 AF31
10.0.0.2:46582        10.0.0.3:5201               365914      10611 AF31
10.0.0.2:36798        10.0.0.3:5201               228800       3253 AF31
10.0.0.2:46462        10.0.0.3:5201                 8952      16736 EF
10.0.0.2:46562        10.0.0.3:5201                 7702      11828 EF
10.0.0.2:36806        10.0.0.3:5201                 4674       3247 EF
10.0.0.2:36820        10.0.0.3:5201                 1646       2032 EF
10.0.0.2:46482        10.0.0.3:5201                 1514      14371 EF
10.0.0.2:46596        10.0.0.3:5201                 1514      10550 EF
10.0.0.2:36828        10.0.0.3:5201                 1514       1891 EF
10.0.0.1:14548        10.0.0.3:9000                 1362      15613 EF
10.0.0.1:27314        10.0.0.3:9000                 1128       1868 EF
10.0.0.1:42264        10.0.0.3:9000                 1128       3884 EF
10.0.0.1:51098        10.0.0.3:9000                 1128       9085 EF
10.0.0.1:53690        10.0.0.3:9000                 1128       3189 EF
10.0.0.1:18266        10.0.0.3:9000                 1128        459 EF
10.0.0.1:10340        10.0.0.3:9000                 1128       8496 EF
10.0.0.1:36392        10.0.0.3:9000                 1128       1367 EF
10.0.0.1:23388        10.0.0.3:9000                 1128       7870 EF
10.0.0.1:22726        10.0.0.3:9000                 1128       7902 EF
10.0.0.1:31262        10.0.0.3:9000                 1128      10218 EF
10.0.0.1:23288        10.0.0.3:9000                 1128         85 EF
