cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=164
src                   dst                          bytes    idle_ms class
10.0.0.2:35648        10.0.0.3:5201               586901          0 AF31
10.0.0.2:35632        10.0.0.3:5201               535363          0 AF31
10.0.0.2:60532        10.0.0.3:5201                  940      44040 EF
10.0.0.2:38006        10.0.0.3:5201                  940      28237 EF
10.0.0.2:55744        10.0.0.3:5201                  940      31882 EF
10.0.0.2:38092        10.0.0.3:5201                  940      23378 EF
10.0.0.2:49786        10.0.0.3:5201                  940      57405 EF
10.0.0.2:55634        10.0.0.3:5201                  940      37960 EF
10.0.0.2:49908        10.0.0.3:5201                  940      51329 EF
10.0.0.2:49764        10.0.0.3:5201                  939      58627 EF
10.0.0.2:39710        10.0.0.3:5201                  939      17299 EF
10.0.0.2:45126        10.0.0.3:5201                  939       5158 EF
10.0.0.2:60384        10.0.0.3:5201                  939      50110 EF
10.0.0.2:38078        10.0.0.3:5201                  938      24592 EF
10.0.0.2:55676        10.0.0.3:5201                  938      35530 EF
10.0.0.2:55662        10.0.0.3:5201                  938      36746 EF
10.0.0.2:37972        10.0.0.3:5201                  938      29450 EF
10.0.0.2:45020        10.0.0.3:5201                  938      10013 EF
10.0.0.2:39884        10.0.0.3:5201                  938      11227 EF
10.0.0.2:55768        10.0.0.3:5201                  938      30665 EF
10.0.0.2:45208        10.0.0.3:5201                  938        300 EF
10.0.0.2:45168        10.0.0.3:5201                  938       2727 EF
10.0.0.2:42124        10.0.0.3:5201                  938      61073 EF
10.0.0.2:60500        10.0.0.3:5201                  938      45252 EF
10.0.0.2:39646        10.0.0.3:5201                  938      19734 EF
10.0.0.2:49816        10.0.0.3:5201                  938      54977 EF
10.0.0.2:60574        10.0.0.3:5201                  938      41607 EF
10.0.0.2:55602        10.0.0.3:5201                  938      39173 EF
10.0.0.2:45050        10.0.0.3:5201                  938       8798 EF
10.0.0.2:38028        10.0.0.3:5201                  938      27025 EF
