cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=16285
src                   dst                          bytes    idle_ms class
10.0.0.2:44892        10.0.0.3:5201              3983891         37 CS1
10.0.0.2:44860        10.0.0.3:5201              2393164       2275 CS1
10.0.0.2:44884        10.0.0.3:5201              1936354       1148 CS1
10.0.0.2:44902        10.0.0.3:5201              1415306          0 CS1
10.0.0.2:44798        10.0.0.3:5201              1366296       3642 CS1
10.0.0.2:44814        10.0.0.3:5201               988718       3067 AF31
10.0.0.2:34154        10.0.0.3:5201               761180      16648 AF31
10.0.0.2:40260        10.0.0.3:5201               736506      10501 AF31
10.0.0.2:40308        10.0.0.3:5201               671672       8053 AF31
10.0.0.2:34186        10.0.0.3:5201               587444      15447 AF31
10.0.0.2:40250        10.0.0.3:5201               299694      11694 AF31
10.0.0.2:34098        10.0.0.3:5201               287578      19105 AF31
10.0.0.2:44760        10.0.0.3:5201               154024       4259 AF31
10.0.0.2:40178        10.0.0.3:5201                10796      14181 EF
10.0.0.2:40274        10.0.0.3:5201                 4608       9277 EF
10.0.0.1:57300        10.0.0.3:9000                 1674       2582 EF
10.0.0.2:34148        10.0.0.3:5201                 1646      16633 EF
10.0.0.2:44776        10.0.0.3:5201                 1646       4337 EF
10.0.0.1:57294        10.0.0.3:9000                 1592       2591 EF
10.0.0.2:40330        10.0.0.3:5201                 1514       5824 EF
10.0.0.1:52128        10.0.0.3:9000                 1206       8668 EF
10.0.0.1:14188        10.0.0.3:9000                 1182       1926 EF
10.0.0.1:13574        10.0.0.3:9000                 1158       7956 EF
10.0.0.1:10750        10.0.0.3:9000                 1128      10946 EF
10.0.0.1:43748        10.0.0.3:9000                 1128       3858 EF
10.0.0.1:54622        10.0.0.3:9000                 1128      11388 EF
10.0.0.1:42182        10.0.0.3:9000                 1128       3968 EF
10.0.0.1:40744        10.0.0.3:9000                 1128       6452 EF
10.0.0.1:51810        10.0.0.3:9000                 1128      14299 EF
10.0.0.1:25164        10.0.0.3:9000                 1128       1033 EF
