cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=16293
src                   dst                          bytes    idle_ms class
10.0.0.2:33606        10.0.0.3:5201              3710445          0 CS1
10.0.0.2:33600        10.0.0.3:5201              3707087          0 CS1
10.0.0.1:30722        10.0.0.3:9000                 1362        772 EF
10.0.0.1:15436        10.0.0.3:9000                 1206       1524 EF
10.0.0.1:14310        10.0.0.3:9000                 1206       4094 EF
10.0.0.1:29734        10.0.0.3:9000                 1128       3327 EF
10.0.0.1:44706        10.0.0.3:9000                 1128         78 EF
10.0.0.1:29424        10.0.0.3:9000                 1128      10964 EF
10.0.0.1:48630        10.0.0.3:9000                 1128       4919 EF
10.0.0.1:27984        10.0.0.3:9000                 1128       8513 EF
10.0.0.1:45500        10.0.0.3:9000                 1128       2564 EF
10.0.0.1:46280        10.0.0.3:9000                 1128       7585 EF
10.0.0.1:53148        10.0.0.3:9000                 1128       4683 EF
10.0.0.1:13994        10.0.0.3:9000                 1128       4108 EF
10.0.0.1:31392        10.0.0.3:9000                 1128       3258 EF
10.0.0.1:10602        10.0.0.3:9000                 1128       4267 EF
10.0.0.1:60418        10.0.0.3:9000                 1128       6879 EF
10.0.0.1:43746        10.0.0.3:9000                 1116        127 EF
10.0.0.1:13952        10.0.0.3:9000                 1116       4112 EF
10.0.0.1:38280        10.0.0.3:9000                 1116        393 EF
10.0.0.1:32486        10.0.0.3:9000                 1092       5734 EF
10.0.0.1:15592        10.0.0.3:9000                 1092       1516 EF
10.0.0.1:18328        10.0.0.3:9000                 1086       6437 EF
10.0.0.1:22762        10.0.0.3:9000                 1050       3683 EF
10.0.0.1:25176        10.0.0.3:9000                 1050       3555 EF
10.0.0.1:19686        10.0.0.3:9000                 1050       1308 EF
10.0.0.1:21544        10.0.0.3:9000                 1050       3743 EF
10.0.0.1:10756        10.0.0.3:9000                 1050       9381 EF
10.0.0.1:10790        10.0.0.3:9000                 1050       1771 EF
10.0.0.1:27750        10.0.0.3:9000                 1050        900 EF
